[2026-06-01T06:36:32.110Z] GET http://localhost:8765/index.html → 200 (16ms, 50783B)
[2026-06-01T06:36:32.146Z] GET https://cdn.tailwindcss.com/ → 302 (83ms, ?B)
[2026-06-01T06:36:32.146Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:ital,wght@0,700;0,900;1,700&family=Inter:wght@400;500;600;700&display=swap → 200 (85ms, 13882B)
[2026-06-01T06:36:32.147Z] GET https://cdn.plyr.io/3.7.8/plyr.css → 200 (75ms, 32564B)
[2026-06-01T06:36:32.147Z] GET https://unpkg.com/aos@2.3.4/dist/aos.css → 200 (97ms, 26053B)
[2026-06-01T06:36:32.147Z] GET https://cdn.plyr.io/3.7.8/plyr.js → 200 (95ms, 113183B)
[2026-06-01T06:36:32.147Z] GET https://unpkg.com/aos@2.3.4/dist/aos.js → 200 (98ms, 14690B)
[2026-06-01T06:36:32.147Z] GET http://localhost:8765/images/feature.jpg → 200 (9ms, 648084B)
[2026-06-01T06:36:32.147Z] GET http://localhost:8765/images/gym-1.jpg → 200 (11ms, 912328B)
[2026-06-01T06:36:32.147Z] GET http://localhost:8765/images/gym-2.jpg → 200 (13ms, 897246B)
[2026-06-01T06:36:32.230Z] GET https://cdn.tailwindcss.com/3.4.17 → 200 (51ms, 407279B)
[2026-06-01T06:36:30.240Z] GET http://localhost:8765/images/hero-poster.jpg → 200 (19ms, 180058B)
[2026-06-01T06:36:30.240Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B45L0z3bWuQ.woff2 → 200 (104ms, 21968B)
[2026-06-01T06:36:30.241Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (134ms, 48256B)
[2026-06-01T06:36:30.241Z] GET http://localhost:8765/images/competition-3.jpg → 200 (34ms, 179567B)
[2026-06-01T06:36:30.245Z] GET http://localhost:8765/images/competition-medal.jpg → 200 (35ms, 210785B)
[2026-06-01T06:36:30.245Z] GET http://localhost:8765/images/competition-1.jpg → 200 (36ms, 177094B)
[2026-06-01T06:36:30.245Z] GET http://localhost:8765/images/competition-2.jpg → 200 (32ms, 170692B)
[2026-06-01T06:36:30.245Z] GET http://localhost:8765/images/transformation.jpg → 200 (49ms, 29064B)
[2026-06-01T06:36:30.274Z] GET http://localhost:8765/images/feature.mp4 → 404 (68ms, 335B)
[2026-06-01T06:36:30.294Z] GET http://localhost:8765/images/gallery-1.mp4 → 404 (49ms, 335B)
[2026-06-01T06:36:30.399Z] GET http://localhost:8765/images/gallery-2.mp4 → 404 (13ms, 335B)
[2026-06-01T06:36:30.399Z] GET http://localhost:8765/audio/track-01.mp3 → 200 (41ms, ?B)
[2026-06-01T06:36:30.553Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (180ms, 5785B)
[2026-06-01T06:36:30.553Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (179ms, 5785B)
[2026-06-01T06:36:30.553Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (178ms, 5785B)
[2026-06-01T06:36:30.553Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (175ms, 5785B)
